"id";"phenomenonTime";"resultnumber";"resultnumbers";"resultTime";"resultQuality";"validTime";"parameters";"datastream_id";"multidatastream_id";"featureofinterest_id";"temperature";"humidity";"battery"
31175;2021-11-16 22:47:25.000 +0100;;{0.2,14.431,NULL};2021-11-16 22:47:25.000 +0100;"";;"";;2;3;0.2;14.431;
31186;2021-11-16 23:02:34.000 +0100;;{0.2,14.371,NULL};2021-11-16 23:02:34.000 +0100;"";;"";;2;3;0.2;14.371;
31201;2021-11-16 23:17:42.000 +0100;;{0.2,14.311,NULL};2021-11-16 23:17:42.000 +0100;"";;"";;2;3;0.2;14.311;
31213;2021-11-16 23:33:07.000 +0100;;{0.2,14.311,NULL};2021-11-16 23:33:07.000 +0100;"";;"";;2;3;0.2;14.311;
31224;2021-11-16 23:48:16.000 +0100;;{0.2,14.251,NULL};2021-11-16 23:48:16.000 +0100;"";;"";;2;3;0.2;14.251;
31235;2021-11-17 00:03:38.000 +0100;;{0.2,14.191,100.0};2021-11-17 00:03:38.000 +0100;"";;"";;2;3;0.2;14.191;100.0
31246;2021-11-17 00:18:45.000 +0100;;{0.2,14.251,NULL};2021-11-17 00:18:45.000 +0100;"";;"";;2;3;0.2;14.251;
31257;2021-11-17 00:34:06.000 +0100;;{0.2,14.191,NULL};2021-11-17 00:34:06.000 +0100;"";;"";;2;3;0.2;14.191;
31269;2021-11-17 00:49:15.000 +0100;;{0.2,14.071,NULL};2021-11-17 00:49:15.000 +0100;"";;"";;2;3;0.2;14.071;
31281;2021-11-17 01:04:23.000 +0100;;{0.2,14.071,NULL};2021-11-17 01:04:23.000 +0100;"";;"";;2;3;0.2;14.071;
31292;2021-11-17 01:19:44.000 +0100;;{0.2,14.071,NULL};2021-11-17 01:19:44.000 +0100;"";;"";;2;3;0.2;14.071;
31303;2021-11-17 01:34:53.000 +0100;;{0.2,14.071,NULL};2021-11-17 01:34:53.000 +0100;"";;"";;2;3;0.2;14.071;
31316;2021-11-17 01:50:01.000 +0100;;{0.15,14.071,100.0};2021-11-17 01:50:01.000 +0100;"";;"";;2;3;0.15;14.071;100.0
31327;2021-11-17 02:05:09.000 +0100;;{0.15,14.011,NULL};2021-11-17 02:05:09.000 +0100;"";;"";;2;3;0.15;14.011;
31338;2021-11-17 02:20:18.000 +0100;;{0.2,13.952,NULL};2021-11-17 02:20:18.000 +0100;"";;"";;2;3;0.2;13.952;
31351;2021-11-17 02:35:26.000 +0100;;{0.2,13.952,NULL};2021-11-17 02:35:26.000 +0100;"";;"";;2;3;0.2;13.952;
31362;2021-11-17 02:50:34.000 +0100;;{0.2,13.952,NULL};2021-11-17 02:50:34.000 +0100;"";;"";;2;3;0.2;13.952;
31374;2021-11-17 03:06:03.000 +0100;;{0.2,13.952,NULL};2021-11-17 03:06:03.000 +0100;"";;"";;2;3;0.2;13.952;
31385;2021-11-17 03:21:11.000 +0100;;{0.2,13.892,NULL};2021-11-17 03:21:11.000 +0100;"";;"";;2;3;0.2;13.892;
31396;2021-11-17 03:36:19.000 +0100;;{0.2,13.892,NULL};2021-11-17 03:36:19.000 +0100;"";;"";;2;3;0.2;13.892;
31407;2021-11-17 03:51:27.000 +0100;;{0.2,13.892,NULL};2021-11-17 03:51:27.000 +0100;"";;"";;2;3;0.2;13.892;
31420;2021-11-17 04:06:35.000 +0100;;{0.2,13.832,100.0};2021-11-17 04:06:35.000 +0100;"";;"";;2;3;0.2;13.832;100.0
31432;2021-11-17 04:21:44.000 +0100;;{0.2,13.832,NULL};2021-11-17 04:21:44.000 +0100;"";;"";;2;3;0.2;13.832;
31444;2021-11-17 04:36:53.000 +0100;;{0.2,13.832,NULL};2021-11-17 04:36:53.000 +0100;"";;"";;2;3;0.2;13.832;
31456;2021-11-17 04:52:00.000 +0100;;{0.15,13.772,NULL};2021-11-17 04:52:00.000 +0100;"";;"";;2;3;0.15;13.772;
31467;2021-11-17 05:07:08.000 +0100;;{0.2,13.892,NULL};2021-11-17 05:07:08.000 +0100;"";;"";;2;3;0.2;13.892;
31478;2021-11-17 05:22:17.000 +0100;;{0.2,13.772,NULL};2021-11-17 05:22:17.000 +0100;"";;"";;2;3;0.2;13.772;
31517;2021-11-17 05:28:38.000 +0100;;{0.2,13.772,NULL};2021-11-17 05:28:38.000 +0100;"";;"";;2;3;0.2;13.772;
31511;2021-11-17 05:33:23.000 +0100;;{0.2,13.772,NULL};2021-11-17 05:33:23.000 +0100;"";;"";;2;3;0.2;13.772;
